id,marital_status,custody_status,count_prison_stays,time_in_prison,case_m,case_f,case_total,case_hard,case_drug,case_gambling,age_first_offense,count_arrest
1,Single,Jail Inmate,0,,1,1,8,1,0,0,62,2
2,Single,Jail Inmate,0,,,,,,,,,0
3,Single,Jail Inmate,0,,0,4,4,1,0,0,31,1
4,Single,Jail Inmate,0,,15,9,36,1,11,0,17,14
5,Single,Jail Inmate,0,,3,1,7,0,1,0,14,3
6,Married,Pretrial Defendant,0,,1,2,4,1,0,0,36,2
7,Separated,Jail Inmate,0,,1,0,1,0,0,0,42,0
8,Single,Jail Inmate,2,37275,8,21,34,5,2,0,19,35
9,Married,Jail Inmate,0,,3,3,16,1,0,0,29,5
10,Single,Jail Inmate,0,,1,0,1,0,0,0,37,1
11,Single,Jail Inmate,0,,1,1,5,0,2,0,15,4
12,Married,Pretrial Defendant,0,,0,2,2,0,1,0,25,2
13,Single,Jail Inmate,0,,2,3,10,0,0,0,18,3
14,Single,Jail Inmate,0,,1,1,5,0,2,0,21,3
15,Single,Jail Inmate,0,,7,0,11,0,0,0,18,4
16,Married,Jail Inmate,0,,1,0,2,0,0,0,32,0
17,Single,Jail Inmate,0,,1,0,2,0,0,0,19,0
18,Single,Jail Inmate,0,,1,3,6,0,2,0,38,4
19,Single,Pretrial Defendant,0,,1,2,3,2,0,0,43,2
20,Single,Pretrial Defendant,0,,12,3,32,2,2,0,19,19
21,Unknown,Jail Inmate,0,,1,0,3,0,0,0,18,0
22,Single,Jail Inmate,0,,5,2,9,2,1,0,18,6
23,Single,Jail Inmate,0,,11,9,34,1,8,0,18,23
24,Single,Jail Inmate,0,,6,3,17,0,3,0,21,5
25,Separated,Jail Inmate,0,,4,16,25,0,13,0,28,20
26,Single,Jail Inmate,0,,10,1,13,0,0,0,18,3
27,Single,Jail Inmate,0,,3,0,14,0,1,0,20,0
28,Single,Pretrial Defendant,0,,2,1,5,0,0,0,18,5
29,Single,Jail Inmate,0,,8,3,12,2,0,0,18,4
30,Single,Jail Inmate,0,,1,4,5,0,1,0,20,4
31,Single,Pretrial Defendant,1,2954,0,1,1,0,1,0,41,1
32,Separated,Jail Inmate,0,,2,1,19,0,0,0,32,8
33,Single,Jail Inmate,0,,1,0,1,0,0,0,29,1
34,Separated,Jail Inmate,6,6849,0,1,5,0,1,0,50,3
35,Significant Other,Jail Inmate,1,20444,8,8,26,3,2,0,20,19
36,Married,Jail Inmate,0,,0,0,1,0,0,0,46,0
37,Single,Jail Inmate,0,,18,7,58,1,1,0,19,18
38,Single,Pretrial Defendant,0,,1,4,14,1,0,0,30,3
39,Single,Jail Inmate,0,,10,4,21,1,8,0,16,20
40,Single,Jail Inmate,0,,1,4,5,0,1,0,31,2
41,Single,Jail Inmate,0,,11,7,26,1,1,0,19,25
42,Single,Jail Inmate,0,,7,7,25,0,8,0,25,18
43,Single,Jail Inmate,0,,1,0,1,0,0,0,62,1
44,Single,Jail Inmate,0,,3,3,21,0,2,0,21,7
45,Single,Jail Inmate,0,,0,1,1,1,0,0,53,1
46,Single,Jail Inmate,0,,,,,,,,,0
47,Single,Jail Inmate,0,,13,5,19,2,0,0,20,18
48,Single,Jail Inmate,2,32440,7,3,18,1,0,0,17,10
49,Single,Jail Inmate,5,190060,32,24,84,2,2,0,24,85
50,Single,Jail Inmate,0,,12,6,31,0,3,0,29,12
51,Single,Jail Inmate,0,,7,0,12,0,4,0,13,0
51,Single,Pretrial Defendant,0,,7,0,12,0,4,0,13,0
52,Single,Jail Inmate,0,,9,1,14,1,0,0,23,7
53,Significant Other,Jail Inmate,0,,18,3,23,0,17,0,20,0
54,Single,Jail Inmate,2,79395,27,18,93,1,15,0,15,79
55,Single,Jail Inmate,0,,2,0,2,0,2,0,25,2
56,Single,Pretrial Defendant,0,,0,2,8,0,0,0,18,3
57,Single,Jail Inmate,0,,9,0,9,0,0,0,38,5
58,Significant Other,Jail Inmate,0,,,,,,,,,0
59,Married,Jail Inmate,0,,4,1,18,1,0,0,22,2
60,Single,Jail Inmate,0,,2,1,7,0,1,0,19,3
61,Separated,Jail Inmate,0,,5,3,18,1,1,0,23,11
62,Single,Jail Inmate,1,18252,16,20,46,3,7,0,19,52
63,Married,Jail Inmate,2,48190,25,14,58,0,15,0,18,79
64,Single,Jail Inmate,0,,2,1,3,0,0,0,27,2
65,Single,Jail Inmate,0,,1,0,1,0,0,0,27,1
66,Single,Jail Inmate,2,12909,13,7,23,1,4,0,18,39
67,Significant Other,Jail Inmate,0,,19,7,45,2,4,0,16,39
68,Married,Jail Inmate,0,,2,0,3,0,0,0,46,0
69,Single,Pretrial Defendant,0,,5,1,19,0,0,0,19,6
70,Significant Other,Jail Inmate,0,,1,1,4,0,0,0,24,2
71,Single,Pretrial Defendant,0,,3,3,13,0,0,0,22,5
72,Single,Jail Inmate,0,,1,1,2,1,0,0,26,2
73,Single,Jail Inmate,0,,0,1,1,1,0,0,49,1
74,Single,Jail Inmate,0,,2,1,4,0,3,0,23,0
75,Single,Jail Inmate,11,311948,18,34,57,8,5,0,19,52
76,Single,Jail Inmate,1,4992,4,2,6,1,1,0,30,3
77,Widowed,Pretrial Defendant,0,,0,3,3,0,2,0,52,3
78,Single,Jail Inmate,0,,1,4,12,0,2,0,13,7
79,Single,Jail Inmate,0,,16,7,40,0,8,0,17,39
80,Single,Jail Inmate,0,,5,6,13,1,5,0,19,7
81,Single,Jail Inmate,0,,1,1,3,0,0,0,26,2
82,Single,Jail Inmate,0,,15,1,18,0,5,0,22,21
83,Single,Jail Inmate,0,,1,0,3,0,1,0,20,0
84,Married,Jail Inmate,0,,5,0,11,0,0,0,35,1
85,Single,Jail Inmate,2,22284,4,10,20,3,2,0,26,18
86,Single,Pretrial Defendant,0,,1,0,8,0,0,0,25,1
87,Significant Other,Jail Inmate,0,,6,1,20,0,0,0,21,11
88,Single,Pretrial Defendant,7,73950,10,10,25,0,11,0,31,25
89,Married,Jail Inmate,0,,5,2,22,0,0,0,20,8
90,Single,Jail Inmate,0,,16,11,35,1,10,0,16,37
91,Single,Jail Inmate,0,,13,1,31,0,5,0,21,11
92,Married,Jail Inmate,7,84564,4,13,20,3,0,0,16,18
93,Single,Jail Inmate,0,,7,2,21,1,5,0,17,6
94,Married,Jail Inmate,0,,1,0,7,0,0,0,27,0
95,Single,Pretrial Defendant,0,,4,3,16,0,0,0,13,2
96,Single,Jail Inmate,0,,7,5,21,0,0,0,19,13
97,Single,Jail Inmate,0,,2,0,3,0,0,0,58,3
98,Single,Jail Inmate,0,,11,2,19,1,5,0,17,7
99,Single,Jail Inmate,0,,1,0,5,0,0,0,26,1
100,Divorced,Jail Inmate,0,,1,0,1,0,0,0,53,1
101,Single,Jail Inmate,3,84436,9,6,20,1,3,0,26,22
102,Single,Jail Inmate,0,,3,1,5,0,1,0,18,2
103,Single,Jail Inmate,0,,6,1,19,0,0,0,28,8
104,Married,Jail Inmate,0,,1,9,10,1,0,0,30,0
105,Single,Jail Inmate,0,,1,0,1,0,0,0,27,1
106,Single,Jail Inmate,0,,3,2,21,0,0,0,13,8
107,Single,Jail Inmate,0,,11,5,45,1,1,0,21,8
108,Single,Jail Inmate,0,,0,6,7,0,1,0,12,4
109,Married,Pretrial Defendant,0,,,,,,,,,0
110,Single,Jail Inmate,0,,2,0,4,0,0,0,22,4
111,Single,Pretrial Defendant,0,,1,2,7,0,0,0,31,3
112,Single,Pretrial Defendant,0,,6,2,8,1,0,0,48,7
113,Single,Jail Inmate,0,,7,0,16,0,0,0,19,2
114,Single,Jail Inmate,0,,0,2,2,1,0,0,19,2
115,Single,Jail Inmate,0,,3,4,9,0,3,0,21,2
116,Single,Pretrial Defendant,1,4332,2,6,19,3,0,0,22,6
117,Single,Pretrial Defendant,0,,0,5,8,1,0,0,46,4
118,Married,Pretrial Defendant,0,,4,0,12,0,0,0,25,4
119,Significant Other,Jail Inmate,0,,0,1,5,0,0,0,26,1
120,Single,Jail Inmate,0,,2,0,8,0,0,0,21,4
121,Married,Jail Inmate,0,,1,0,6,0,0,0,42,1
122,Single,Jail Inmate,1,20833,15,11,36,2,8,0,19,29
123,Single,Jail Inmate,1,212,1,0,1,0,1,0,60,1
124,Married,Jail Inmate,0,,4,3,11,1,1,0,47,14
125,Divorced,Pretrial Defendant,0,,,,,,,,,0
126,Single,Pretrial Defendant,0,,5,1,6,0,0,0,18,4
127,Married,Jail Inmate,0,,1,1,9,0,0,0,34,1
128,Single,Jail Inmate,0,,23,8,46,1,4,0,16,19
129,Married,Jail Inmate,0,,,,,,,,,0
130,Single,Jail Inmate,0,,3,3,9,0,1,0,18,5
131,Single,Jail Inmate,0,,8,6,14,3,2,0,17,4
132,Single,Jail Inmate,0,,3,2,7,0,0,0,13,3
133,Single,Jail Inmate,6,70264,5,6,11,2,6,0,24,8
134,Divorced,Jail Inmate,0,,3,2,9,0,0,0,18,3
135,Single,Pretrial Defendant,0,,15,5,26,0,5,0,18,28
136,Single,Jail Inmate,0,,1,0,10,0,0,0,21,1
137,Single,Jail Inmate,1,15158,11,7,28,1,7,0,21,26
138,Single,Jail Inmate,0,,16,2,52,0,2,0,20,14
139,Single,Jail Inmate,0,,5,4,9,1,7,0,18,1
140,Single,Jail Inmate,0,,,,,,,,,0
141,Single,Jail Inmate,0,,9,4,21,1,2,0,14,21
142,Single,Jail Inmate,0,,23,3,34,1,8,0,18,17
143,Single,Pretrial Defendant,0,,16,10,30,3,9,0,46,39
144,Single,Pretrial Defendant,0,,6,1,14,0,0,0,30,14
145,Single,Jail Inmate,0,,1,1,3,0,2,0,18,2
146,Single,Pretrial Defendant,0,,7,4,30,0,2,0,21,3
147,Single,Pretrial Defendant,0,,13,1,25,0,0,0,58,21
148,Divorced,Jail Inmate,0,,2,0,3,0,0,0,51,3
149,Single,Jail Inmate,0,,,,,,,,,0
150,Married,Pretrial Defendant,0,,1,0,3,0,0,0,38,1
151,Single,Pretrial Defendant,0,,4,2,6,0,1,0,18,1
152,Single,Pretrial Defendant,0,,1,2,4,0,0,0,21,2
153,Single,Jail Inmate,0,,1,1,4,0,0,0,22,1
154,Married,Jail Inmate,0,,8,4,12,4,0,0,36,3
155,Single,Jail Inmate,0,,9,1,28,0,0,0,20,12
156,Single,Jail Inmate,1,13310,11,15,50,3,5,0,15,22
157,Single,Jail Inmate,0,,0,2,3,0,2,0,24,1
158,Single,Jail Inmate,0,,1,0,1,0,0,0,29,1
159,Single,Jail Inmate,0,,1,2,3,0,0,0,33,5
160,Single,Pretrial Defendant,3,103526,12,16,34,2,1,0,21,37
161,Single,Jail Inmate,0,,11,1,23,0,1,0,21,6
162,Married,Jail Inmate,0,,0,1,1,0,0,0,23,1
163,Single,Pretrial Defendant,0,,1,2,6,0,3,0,36,4
164,Single,Jail Inmate,0,,2,2,7,0,2,0,14,5
165,Single,Jail Inmate,0,,1,0,1,0,0,0,19,1
166,Single,Jail Inmate,0,,9,10,20,6,0,0,18,6
167,Single,Jail Inmate,0,,0,1,1,0,0,0,25,1
168,Single,Jail Inmate,0,,0,1,1,0,0,0,18,0
169,Married,Jail Inmate,0,,6,7,25,0,9,0,19,17
170,Single,Jail Inmate,1,3996,2,3,5,0,2,0,18,12
171,Single,Jail Inmate,0,,0,2,2,1,0,0,30,0
172,Single,Jail Inmate,0,,2,3,22,0,2,0,23,3
173,Significant Other,Jail Inmate,0,,12,3,26,0,11,0,18,17
174,Separated,Jail Inmate,0,,5,1,16,0,2,0,18,3
175,Married,Jail Inmate,0,,1,2,3,0,0,0,38,3
175,Significant Other,Pretrial Defendant,0,,1,2,3,0,0,0,38,2
176,Single,Jail Inmate,3,37880,8,14,24,5,6,0,17,20
177,Single,Jail Inmate,0,,3,7,10,3,0,0,19,2
178,Divorced,Jail Inmate,5,135717,34,16,82,0,12,0,16,57
179,Single,Pretrial Defendant,0,,2,0,3,0,0,0,42,2
180,Single,Jail Inmate,0,,2,0,5,0,0,0,21,3
181,Single,Pretrial Defendant,0,,9,9,22,1,3,0,18,16
182,Single,Jail Inmate,0,,1,5,24,0,0,0,24,5
183,Single,Jail Inmate,0,,14,15,34,2,2,0,18,46
184,Single,Jail Inmate,1,15372,7,8,18,0,7,0,18,12
185,Single,Jail Inmate,0,,2,1,10,1,0,0,25,5
186,Single,Jail Inmate,0,,5,1,8,1,1,0,32,5
187,Single,Pretrial Defendant,8,192560,4,18,24,4,4,0,25,29
188,Single,Pretrial Defendant,0,,2,1,3,0,1,0,30,2
189,Single,Pretrial Defendant,0,,5,0,10,0,0,0,39,3
190,Single,Jail Inmate,0,,20,11,70,1,5,0,18,34
191,Single,Jail Inmate,1,3746,1,1,2,0,0,0,60,2
192,Married,Pretrial Defendant,0,,3,0,7,0,0,0,56,5
193,Single,Pretrial Defendant,0,,8,2,10,0,6,0,18,10
194,Single,Pretrial Defendant,0,,9,6,26,1,8,0,19,23
195,Single,Jail Inmate,0,,2,2,10,0,1,0,18,3
196,Single,Jail Inmate,0,,0,1,2,1,0,0,25,1
197,Single,Pretrial Defendant,0,,6,0,16,0,0,0,25,10
198,Single,Jail Inmate,0,,,,,,,,,0
