"case_number","case_total","case_m","case_f","case_gambling","case_hard","case_drugs"
"00000027CF10A",17,5,9,0,0,5
"00000051TC40A",4,2,2,0,0,4
"00000081CF10C",1,0,0,0,0,0
"00000084CF10A",1,0,0,0,0,0
"00000155CF10A",28,8,20,0,1,14
"00000185MM20A",20,4,9,0,3,2
"00000190MM10A",13,4,6,0,3,2
"00000267CF10A",17,2,15,0,2,2
"00000331CF10A",6,2,3,0,1,2
"00000398CF10A",21,2,12,0,2,7
"00000410CF10A",15,5,6,0,1,5
"00000424CF10A",6,1,5,0,1,4
"00000437CF10B",19,7,9,0,0,12
"00000438CF10A",19,7,9,0,0,12
"00000494CF10A",15,5,7,0,1,10
"00000496MM10A",1,1,0,0,0,0
"00000558CF10A",15,4,7,0,2,1
"00000610CF10A",6,3,2,0,0,2
"00000642CF10A",22,6,11,0,1,3
"00000649CF10A",1,1,0,0,0,0
"00000653CF10A",14,7,7,0,3,5
"00000710CF10A",4,2,1,0,0,2
"00000716CF10A",2,0,0,0,0,0
"00000761TC10A",21,8,3,0,0,3
"00000837MO40A",18,10,2,0,0,3
"00000909CF10A",0,0,0,0,0,0
"00000934MO40A",1,1,0,0,0,0
"00001010CF10A",13,2,11,0,6,0
"00001050CF10A",2,1,0,0,0,0
"00001059CF10C",4,2,0,0,0,0
"00001072CF10A",18,6,9,0,3,0
"00001270CF10A",24,8,16,0,4,7
"00001274CF10A",9,2,0,0,0,0
"00001302CF10A",3,2,1,0,0,2
"00001379MM10A",22,7,10,0,2,8
"00001413CF10A",10,2,4,0,2,0
"00001550CF10A",2,2,0,0,0,0
"00001599MM10A",3,0,3,0,1,0
"00001610CF10A",18,7,7,0,2,6
"00001663MM10A",0,0,0,0,0,0
"00001670TC10A",36,9,17,0,4,10
"00001740CF10A",0,0,0,0,0,0
"00001777MM10A",15,3,7,1,0,3
"00001879CF10A",17,4,13,0,1,11
"00001897CF10A",5,1,0,0,0,0
"00001995CF10A",0,0,0,0,0,0
"00002047CF10A",5,0,5,0,3,0
"00002108CF10A",1,0,1,0,0,1
"00002211CF10A",30,8,22,0,2,14
"00002216CF10A",0,0,0,0,0,0
"00002225CF10A",0,0,0,0,0,0
"00002253CF10A",0,0,0,0,0,0
"00002273CF10A",2,0,2,0,0,0
"00002367MM30A",24,8,9,0,0,9
"00002384CF10A",11,6,2,0,0,6
"00002407CF10A",6,0,2,0,1,0
"00002448CF10A",1,0,1,0,0,1
"00002485CF10A",10,8,0,0,0,0
"00002559MO40A",25,14,7,0,0,5
"00002595CF10A",3,1,2,0,2,0
"00002635CF10A",0,0,0,0,0,0
"00002663CF10A",2,1,1,0,0,2
"00002670CF10A",19,5,11,0,1,4
"00002715CF10A",4,1,1,0,0,1
"00002723TC10A",14,7,3,0,1,3
"00002725TC20A",0,0,0,0,0,0
"00002772CF10A",18,8,6,0,0,5
"00002882MM20A",9,2,3,0,0,3
"00002894MM10A",8,2,6,0,1,6
"00002924CF10A",0,0,0,0,0,0
"00002931CF10A",16,6,1,0,0,0
"00002994MO40A",6,3,3,0,0,2
"00002995MM10A",0,0,0,0,0,0
"00003010CF10A",13,7,3,0,1,6
"00003081MM20A",1,0,0,0,0,0
"00003130CF10A",32,9,23,0,2,16
"00003208CF10A",2,0,0,0,0,0
"00003216TC10A",9,5,2,0,0,6
"00003318CF10A",0,0,0,0,0,0
"00003336CF10A",32,2,20,0,9,0
"00003366CF10A",20,4,13,0,0,11
"00003408CF10A",0,0,0,0,0,0
"00003415CF10A",0,0,0,0,0,0
"00003426CF10A",2,0,2,0,1,0
"00003432CF10A",6,2,4,0,0,3
"00003439TC10A",10,5,5,0,3,1
"00003515CF10A",8,4,1,0,0,1
"00003527MO40A",16,8,8,0,0,15
"00003611CF10A",0,0,0,0,0,0
"00003641CF10A",19,4,11,0,1,3
"00003698CF10A",0,0,0,0,0,0
"00003699CF10A",7,2,5,0,2,0
"00003728CF10A",14,7,7,0,1,3
"00003788CF10A",1,0,1,0,0,0
"00003816TC40A",0,0,0,0,0,0
"00003820CF10A",7,2,3,0,1,4
"00003823CF10A",5,1,2,0,0,2
"00003836CF10A",28,10,18,0,3,4
"00003878MM20B",4,0,0,0,0,0
"00003994CF10A",30,10,9,0,4,2
"00004041CF10A",5,2,2,0,0,1
"00004042CF10A",0,0,0,0,0,0
"00004068CF10A",7,2,5,0,0,6
"00004078CF10A",19,5,14,0,1,13
"00004098MO40A",18,9,9,0,1,15
"00004123CF10A",16,2,13,0,3,1
"00004153CF10A",21,6,15,0,1,15
"00004159TC30A",7,4,2,0,0,6
"00004188CF10A",31,7,15,0,4,10
"00004201CF10A",9,4,5,0,1,2
"00004216CF10A",22,4,6,0,0,3
"00004220CF10A",4,1,3,0,0,4
"00004246CF10A",5,0,1,0,1,0
"00004247CF10A",8,2,6,0,1,5
"00004318MM10A",17,5,12,0,3,3
"00004322CF10A",7,2,5,0,0,3
"00004461MO40A",17,6,11,0,3,1
"00004613CF10A",0,0,0,0,0,0
"00004614CF10A",2,1,0,0,0,0
"00004661CF10A",23,7,6,0,0,5
"00004726MO40A",14,4,9,0,0,5
"00004729CF10A",4,1,3,0,2,1
"00004740CF10A",27,7,7,0,4,1
"00004749CF10B",1,0,1,0,0,0
"00004750CF10A",1,0,1,0,0,0
"00004803CF10A",4,3,1,0,0,2
"00004839CF10A",10,4,5,0,0,0
"00004903TC10A",0,0,0,0,0,0
"00004972MM10A",18,10,1,0,0,3
"00004975CF10A",15,7,5,0,1,6
"00004983CF10A",2,1,1,0,0,1
"00004986CF10A",0,0,0,0,0,0
"00004994MO40A",0,0,0,0,0,0
"00005025CF10A",24,7,9,0,2,4
"00005188MM10A",0,0,0,0,0,0
"00005208CF10A",17,5,10,1,1,9
"00005256CF10A",22,7,8,0,0,7
"00005280CF10A",7,1,5,0,0,0
"00005292CF10A",17,5,10,0,4,6
"00005303MM10A",4,0,3,0,2,1
"00005523CF10A",0,0,0,0,0,0
"00005580CF10A",0,0,0,0,0,0
"00005709CF10A",2,1,1,0,0,2
"00005752CF10A",45,14,9,0,5,2
"00005794CF10A",0,0,0,0,0,0
"00005862CF10A",1,0,0,0,0,0
"00005923CF10A",3,2,0,0,0,0
"00005949CF10A",2,1,1,0,0,1
"00006084CF10A",18,6,12,0,4,10
"00006092TC20A",11,0,0,0,0,0
"00006102CF10A",0,0,0,0,0,0
"00006110CF10A",7,3,3,0,0,5
"00006120MO10A",11,2,6,0,3,0
"00006193TI20A",2,0,0,0,0,0
"00006198TI20A",0,0,0,0,0,0
"00006345CF10A",11,6,5,0,0,7
"00006345TC40A",7,2,1,0,1,0
"00006363MM10A",18,8,6,0,0,5
"00006370CF10A",7,3,4,0,1,1
"00006437CF10A",5,3,2,0,0,4
"00006461CF10A",3,0,0,0,0,0
"00006463CF10A",22,5,6,0,2,1
"00006474CF10A",16,5,10,0,2,7
"00006491MM10A",0,0,0,0,0,0
"00006497CF10A",0,0,0,0,0,0
"00006581CF10A",7,3,3,0,0,3
"00006592CF10A",6,3,1,0,0,1
"00006621CF10A",24,12,9,0,2,5
"00006634CF10A",23,8,14,0,2,12
"00006694CF10A",2,1,1,0,1,0
"00006811TC10A",3,2,1,0,0,0
"00006936CF10A",13,4,9,0,0,0
"00006969CF10A",1,0,1,0,0,0
"00006975MM10A",33,9,12,0,0,5
"00006982CF10A",14,4,6,0,2,4
"00007001CF10A",0,0,0,0,0,0
"00007008CF10A",0,0,0,0,0,0
"00007009CF10A",0,0,0,0,0,0
"00007050CF10A",13,6,7,0,1,2
"00007051CF10A",8,5,1,0,0,2
"00007054CF10A",22,8,13,0,1,16
"00007106CF10A",12,4,7,0,0,2
"00007135CF10A",2,0,2,0,0,2
"00007173CF10A",2,1,1,0,0,1
"00007185CF10A",8,0,8,0,1,3
"00007240CF10A",8,4,3,0,0,3
"00007296CF10A",6,1,5,0,1,4
"00007326CF10A",7,2,5,0,0,3
"00007335CF10A",9,2,6,0,0,2
"00007375CF10A",7,5,2,0,0,2
"00007376CF10A",7,0,4,0,2,2
"00007407CF10A",0,0,0,0,0,0
"00007424CF10A",0,0,0,0,0,0
"00007431CF10A",0,0,0,0,0,0
"00007526CF10A",8,2,0,0,0,0
"00007572TC20A",6,4,0,0,0,0
"00007652CF10A",3,1,2,1,0,3
"00007666CF10A",30,2,18,0,9,0
"00007731CF10A",6,3,3,0,0,1
"00007734CF10A",20,6,11,0,3,2
"00007740CF10A",36,12,14,0,1,9
"00007900CF10A",11,6,5,0,0,7
"00007921MO10A",0,0,0,0,0,0
"00007930CF10A",0,0,0,0,0,0
"00008013CF10A",11,3,7,0,0,3
"00008113MM10A",0,0,0,0,0,0
"00008167MM10A",0,0,0,0,0,0
"00008169CF10A",7,4,3,0,0,2
"00008228CF10A",4,2,0,0,0,1
"00008239CF10A",8,5,3,0,0,6
"00008264CF10A",4,1,2,0,2,0
"00008352CF10A",23,7,6,0,4,1
"00008579CF10A",3,1,2,0,1,0
"00008582CF10A",18,5,11,1,1,10
"00008594CF10A",0,0,0,0,0,0
"00008614CF10A",0,0,0,0,0,0
"00008698MM10A",8,4,2,0,2,0
"00008770MM10A",11,5,6,0,2,1
"00008793CF10A",11,3,7,0,0,4
"00008802CF10A",2,2,0,0,0,0
"00008831CF10A",35,17,6,0,1,4
"00008843CF10A",11,4,5,0,0,7
"00008916MM10A",0,0,0,0,0,0
"00008934CF10A",27,11,3,0,1,2
"00008938CF10A",0,0,0,0,0,0
"00008947CF10A",6,1,4,0,1,4
"00008976CF10A",3,1,2,0,0,1
"00009001CF10A",9,3,6,0,0,7
"00009028CF10A",6,4,1,0,0,0
"00009128CF10A",5,0,5,0,2,0
"00009172CF10A",74,10,4,0,0,4
"00009188CF10A",6,0,6,0,1,4
"00009229TC30A",0,0,0,0,0,0
"00009353CF10A",0,0,0,0,0,0
"00009379CF10A",8,4,4,0,1,0
"00009505TC30A",0,0,0,0,0,0
"00009553MM10A",22,7,8,0,0,7
"00009560CF10A",6,2,3,0,2,2
"00009565CF10A",5,2,3,0,2,2
"00009654CF10A",8,1,7,0,2,4
"00009670CF10A",10,1,8,0,1,6
